dataset,localization_method,reduction_method,ac@2,ac@5,avg@5,elapsed_time_sum,bacc,recall,mcc,specificity,f1_score
SS-medium,RS,K-S test,0.05432153902295205,0.12979386611819718,0.07947016937465051,,0.5684564533175351,1.0,0.05595972616185849,0.13691290663507025,0.05353749164756178
SS-medium,RS,MetricSifter,0.08880434903602055,0.2048696488773407,0.12744174753091012,,0.7185428957183886,0.9791666666666666,0.13650055627362825,0.4579191247701106,0.08650161057221452
SS-medium,RS,NSigma,0.05591636160254328,0.13347881186670865,0.08176118623783293,,0.5834527617348694,0.9875,0.0640218144439612,0.1794055234697387,0.05506179008213737
SS-medium,RS,None,0.04715114959224883,0.11332646564332877,0.06920385194502429,,0.5,1.0,-10.0,0.0,0.04655557817036815
SS-medium,e-Diagnosis,BIRCH,0.0,0.0,0.0,6.4653156875,0.5932120582857794,1.0,0.07043988891699196,0.1864241165715588,0.056584960493002996
SS-medium,e-Diagnosis,FluxInfer-AD,0.0,0.0025,0.0005,6.9181845,0.5684564533175351,1.0,0.05595972616185849,0.13691290663507025,0.05353749164756178
SS-medium,e-Diagnosis,HDBS-R,0.00625,0.0225,0.012624999999999999,3.0337009375,0.4621846264253618,0.2314583333333333,-0.0249504257534458,0.6929109195173903,0.033233963691770535
SS-medium,e-Diagnosis,HDBS-SBD,0.0,0.0225,0.0122083125,2.8444441875,0.46983674452815466,0.25125,-0.020530136847415933,0.6884234890563093,0.03501575755823316
SS-medium,e-Diagnosis,K-S test,0.0,0.0025,0.0005,6.8754016875,0.5684564533175351,1.0,0.05595972616185849,0.13691290663507025,0.05353749164756178
SS-medium,e-Diagnosis,MetricSifter,0.018750000000000003,0.040625,0.0285416875,4.8124983125,0.7185428957183886,0.9791666666666666,0.13650055627362825,0.4579191247701106,0.08650161057221452
SS-medium,e-Diagnosis,NSigma,0.0,0.0025,0.0005,6.70688775,0.5834527617348694,0.9875,0.0640218144439612,0.1794055234697387,0.05506179008213737
SS-medium,e-Diagnosis,None,0.0,0.0,0.0,7.9980395,0.5,1.0,-10.0,0.0,0.04655557817036815
SS-small,CG+PageRank,BIRCH,0.05,0.0391666875,0.04075,0.07269856249999997,0.5797477783039272,1.0,0.052817693836471565,0.15949555660785442,0.03671740779024018
